Date,Open,High,Low,Close,Adj Close,Volume,Company
2002-05-01,0.115643002,0.124286003,0.107143,0.107643001,1478806000,0.107643001,Netflix
2002-06-01,0.108000003,0.123213999,0.084214002,0.099928997,741902000,0.099928997,Netflix
2002-07-01,0.100000001,0.129929006,0.085000001,0.095357001,736106000,0.095357001,Netflix
2002-08-01,0.094999999,0.099928997,0.070643,0.093643002,648830000,0.093643002,Netflix
2002-09-01,0.093643002,0.097643003,0.068929002,0.069286004,557494000,0.069286004,Netflix
2002-10-01,0.070928998,0.073570997,0.034643002,0.064071,1691480000,0.064071,Netflix
2002-11-01,0.062857002,0.079999998,0.055357002,0.077500001,1019676000,0.077500001,Netflix
2002-12-01,0.074285999,0.092857003,0.068429001,0.078643002,951006000,0.078643002,Netflix
2003-01-01,0.084642999,0.095642999,0.076214001,0.094286002,1159970000,0.094286002,Netflix
2003-02-01,0.093856998,0.122856997,0.082428999,0.122213997,1291780000,0.122213997,Netflix
2003-03-01,0.120785996,0.159500003,0.106429003,0.145356998,2433298000,0.145356998,Netflix
2003-04-01,0.146429002,0.176357001,0.132570997,0.162856996,3365628000,0.162856996,Netflix
2003-05-01,0.161928996,0.185213998,0.146642998,0.160714,2832900000,0.160714,Netflix
2003-06-01,0.160786003,0.188214004,0.128929004,0.182500005,4753672000,0.182500005,Netflix
2003-07-01,0.182857007,0.204285994,0.161071002,0.187142998,2999304000,0.187142998,Netflix
2003-08-01,0.185142994,0.241285995,0.161429003,0.238070995,2132536000,0.238070995,Netflix
2003-09-01,0.237357005,0.287429005,0.217286006,0.239713997,3591994000,0.239713997,Netflix
2003-10-01,0.238571003,0.435714006,0.238571003,0.409285992,7115556000,0.409285992,Netflix
2003-11-01,0.409929007,0.432500005,0.31557101,0.349999994,6078338000,0.349999994,Netflix
2003-12-01,0.352999985,0.423070997,0.307500005,0.390643001,4805234000,0.390643001,Netflix
2004-01-01,0.410714,0.56814301,0.384214014,0.524357021,9323272000,0.524357021,Netflix
2004-02-01,0.529999971,0.563929021,0.432285994,0.491429001,7274183000,0.491429001,Netflix
2004-03-01,0.490714014,0.506570995,0.395285994,0.487428993,4174527000,0.487428993,Netflix
2004-04-01,0.515570998,0.551714003,0.35957101,0.362286001,4829769000,0.362286001,Netflix
2004-05-01,0.361429006,0.475286007,0.361286014,0.470286012,2854117000,0.470286012,Netflix
2004-06-01,0.462713987,0.522428989,0.405000001,0.514285982,2587977000,0.514285982,Netflix
2004-07-01,0.50999999,0.515286028,0.264286011,0.292856991,5785507000,0.292856991,Netflix
2004-08-01,0.283428997,0.291429013,0.197857007,0.199285999,2906393000,0.199285999,Netflix
2004-09-01,0.200142995,0.258570999,0.198285997,0.220285997,3418730000,0.220285997,Netflix
2004-10-01,0.249285996,0.280000001,0.132143006,0.135286003,9599107000,0.135286003,Netflix
2004-11-01,0.135428995,0.175429001,0.133570999,0.162570998,4045146000,0.162570998,Netflix
2004-12-01,0.163142994,0.197429001,0.157857001,0.176143005,3724833000,0.176143005,Netflix
